bin,n_customers,mean_predicted,mean_actual,abs_error,pct_error
1,453,0.3997339299653208,0.38852097130242824,0.01121295866289257,2.9
2,452,0.6199263696443875,0.6415929203539823,0.02166655070959478,3.4
3,452,0.8876329156639137,0.8362831858407079,0.051349729823205736,6.1
4,452,1.0989261756161361,0.834070796460177,0.26485537915595914,31.8
5,452,1.4162034940441743,1.157079646017699,0.25912384802647526,22.4
6,452,1.9033759191442357,1.5597345132743363,0.34364140586989933,22.0
7,452,2.4343186530218617,1.913716814159292,0.5206018388625697,27.2
8,452,3.175196572318176,2.584070796460177,0.5911257758579991,22.9
9,452,4.564835616674988,4.028761061946903,0.536074554728085,13.3
10,453,11.407528712073228,12.004415011037528,0.5968862989643,5.0
