bin,n_customers,mean_predicted,mean_actual,abs_error,pct_error
1,460,1.0266662,0.5239130434782608,0.5027531209199325,96.0
2,447,1.1893859,0.6196868008948546,0.5696990900658387,91.9
3,451,1.330375,0.7405764966740577,0.5897984594569238,79.6
4,451,1.5796728,0.8536585365853658,0.7260142768301615,85.0
5,452,1.9449737,1.4535398230088497,0.49143388419024703,33.8
6,452,2.3696935,1.5973451327433628,0.7723483849415738,48.4
7,452,2.9354517,1.9867256637168142,0.9487260822701242,47.8
8,452,3.7628791,2.5265486725663715,1.2363304606581158,48.9
9,452,5.4436874,4.081858407079646,1.3618290318851978,33.4
10,453,13.1924715,11.567328918322296,1.6251425858891295,14.0
