cost,depth,rule,hit_rate,wasted_spend,net_value,downside_pen_profit
100.0,0.1,point,0.9580573951434879,1882.45,3599453.0,3597570.55
100.0,0.1,prob,0.5673289183222958,19227.44,406387.27,387159.83
100.0,0.2,point,0.9292817679558011,6192.849999999999,4330648.600000001,4324455.750000001
100.0,0.2,prob,0.5701657458563536,38101.99,987572.9,949470.91
300.0,0.1,point,0.9448123620309051,6139.07,3508853.000000001,3502713.930000001
300.0,0.1,prob,0.5916114790286976,46082.729999999996,732543.4400000001,686460.7100000001
300.0,0.2,point,0.9038674033149171,21157.83,4149648.6000000006,4128490.7700000005
300.0,0.2,prob,0.5845303867403315,92862.42,1404294.4700000002,1311432.0500000003
600.0,0.1,point,0.9183222958057395,14841.12,3372953.0000000005,3358111.8800000004
600.0,0.1,prob,0.6401766004415012,67533.59999999999,981383.84,913850.24
600.0,0.2,point,0.8475138121546961,55039.93,3878148.6000000006,3823108.6700000004
600.0,0.2,prob,0.6187845303867403,144737.62,1719994.69,1575257.0699999998
1200.0,0.1,point,0.8653421633554084,42920.17,3101153.0000000005,3058232.8300000005
1200.0,0.1,prob,0.6600441501103753,99911.87,1632211.6999999997,1532299.8299999996
1200.0,0.2,point,0.7093922651933702,175995.97999999998,3335148.6000000006,3159152.6200000006
1200.0,0.2,prob,0.6928176795580111,181910.03,3255304.12,3073394.0900000003
2000.0,0.1,point,0.7571743929359823,110998.15,2738753.0000000005,2627754.8500000006
2000.0,0.1,prob,0.7505518763796909,114212.57999999999,2628122.9699999997,2513910.3899999997
2000.0,0.2,point,0.5303867403314917,452101.74,2611148.6000000006,2159046.8600000003
2000.0,0.2,prob,0.46519337016574586,705616.9900000001,2275915.32,1570298.3299999996
