cost,depth,rule,hit_rate,wasted_spend,net_value
100.0,0.1,point,0.9580573951434879,1882.45,3599453.0
100.0,0.1,prob,0.9448123620309051,2292.85,3152637.8
100.0,0.2,point,0.9292817679558011,6192.849999999999,4330648.600000001
100.0,0.2,prob,0.9149171270718232,7004.389999999999,4037332.32
300.0,0.1,point,0.9448123620309051,6139.07,3508853.000000001
300.0,0.1,prob,0.9227373068432672,8350.529999999999,3223673.26
300.0,0.2,point,0.9038674033149171,21157.83,4149648.6000000006
300.0,0.2,prob,0.8850828729281768,24537.9,3935934.7299999995
600.0,0.1,point,0.9183222958057395,14841.12,3372953.0000000005
600.0,0.1,prob,0.9050772626931567,16443.8,3252950.4400000004
600.0,0.2,point,0.8475138121546961,55039.93,3878148.6000000006
600.0,0.2,prob,0.8265193370165745,60451.880000000005,3827082.670000001
1200.0,0.1,point,0.8653421633554084,42920.17,3101153.0000000005
1200.0,0.1,prob,0.847682119205298,49659.4,3058545.8400000003
1200.0,0.2,point,0.7093922651933702,175995.97999999998,3335148.6000000006
1200.0,0.2,prob,0.7049723756906078,179251.3,3329167.16
2000.0,0.1,point,0.7571743929359823,110998.15,2738753.0000000005
2000.0,0.1,prob,0.7549668874172185,112342.62,2733596.1499999994
2000.0,0.2,point,0.5303867403314917,452101.74,2611148.6000000006
2000.0,0.2,prob,0.5314917127071823,457461.34,2609344.9199999995
