,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r[France],0.8987,0.2123,0.5865,1.2949,0.0053,0.0047,1365.9917,2558.7277,0.9996
r[Germany],0.7251,0.1175,0.5147,0.9466,0.0021,0.0021,3268.8108,3145.7867,0.9999
r[Other],0.5112,0.0613,0.3954,0.6226,0.0015,0.001,1693.8618,1560.7371,1.0017
r[United Kingdom],0.6578,0.0196,0.621,0.6946,0.0003,0.0003,3845.5126,3333.3169,1.0022
alpha[France],8.2312,2.0348,5.3112,12.248,0.0506,0.0528,1522.0375,2579.3648,1.0009
alpha[Germany],7.2978,1.2414,4.9995,9.6852,0.0218,0.028,3669.0455,3096.3061,1.0004
alpha[Other],6.1494,0.9002,4.4569,7.6921,0.0212,0.0109,1781.9816,2511.9121,1.0003
alpha[United Kingdom],7.1889,0.2695,6.6951,7.7078,0.0041,0.0037,4207.6283,3597.4803,1.001
a[France],0.2053,0.0678,0.0753,0.3305,0.0013,0.0012,2535.1106,2728.9472,1.001
a[Germany],0.2122,0.0677,0.0856,0.3368,0.0013,0.0014,2863.269,2607.4049,0.9999
a[Other],0.2376,0.0738,0.1092,0.3711,0.0014,0.0017,2874.5492,2667.9086,1.0004
a[United Kingdom],0.2306,0.0499,0.1471,0.3262,0.0009,0.0009,3247.8451,2704.0161,1.0001
b[France],5.9908,3.5604,1.868,11.1701,0.073,0.2412,2703.0703,2795.9721,1.0001
b[Germany],5.6598,3.0154,2.0481,10.6679,0.0576,0.1385,2987.4671,3115.4148,1.0
b[Other],4.99,2.0513,1.8895,8.7199,0.0392,0.0514,2916.2026,2771.9012,1.0003
b[United Kingdom],4.8639,1.4793,2.3822,7.5963,0.0278,0.0325,3024.6515,2758.0849,0.9993
