cost_per_customer,targeting_depth,n_targeted,point_estimate_value,posterior_prob_value,oracle_value,random_value,improvement,improvement_pct
100.0,0.05,227,2920451.860000001,194053.13,3319869.2199999997,268880.2354865104,-2726398.730000001,-93.35537309623952
100.0,0.1,453,3599453.000000001,408242.49,4042655.79,536575.9765435647,-3191210.5100000007,-88.65820751094996
100.0,0.15,679,4032170.22,750227.86,4505583.1,804271.7176006191,-3281942.3600000003,-81.39394373085733
100.0,0.2,905,4330648.600000001,977756.0,4831417.1,1071967.4586576736,-3352892.6000000006,-77.42241196848033
100.0,0.3,1357,4685061.2,1829265.6300000001,5223076.83,1607358.940771782,-2855795.5700000003,-60.95535251491252
100.0,0.4,1809,4909636.91,2540331.07,5428485.43,2142750.422885891,-2369305.8400000003,-48.25827008049598
100.0,0.5,2261,5056312.36,2930065.84,5524777.41,2678141.905,-2126246.5200000005,-42.05132849030671
300.0,0.05,227,2875051.860000001,434589.01,3274469.2199999997,223480.2354865104,-2440462.8500000006,-84.88413318565847
300.0,0.1,453,3508853.000000001,749260.8899999999,3952055.79,445975.9765435648,-2759592.1100000013,-78.64655800625488
300.0,0.15,679,3896370.22,1019318.31,4369783.1,668471.7176006192,-2877051.91,-73.83928496402639
300.0,0.2,905,4149648.6000000006,1407329.81,4650417.1,890967.4586576737,-2742318.7900000005,-66.08556661880573
300.0,0.3,1357,4413661.2,2129266.9299999997,4951676.83,1335958.9407717825,-2284394.2700000005,-51.75735441586416
300.0,0.4,1809,4547836.91,2669972.8499999996,5066685.43,1780950.4228858913,-1877864.0600000005,-41.29136768010415
300.0,0.5,2261,4604112.36,3082845.13,5072577.41,2225941.9050000003,-1521267.2300000004,-33.04148793622556
600.0,0.05,227,2806951.860000001,460084.78,3206369.2199999997,155380.2354865104,-2346867.080000001,-83.60909616736942
600.0,0.1,453,3372953.0000000005,975707.14,3816155.7899999996,310075.9765435648,-2397245.8600000003,-71.07261381938288
600.0,0.15,679,3692670.22,1264219.37,4166083.0999999996,464771.71760061925,-2428450.85,-65.7640868346847
600.0,0.2,905,3878148.6000000006,1720572.8,4378917.1,619467.4586576737,-2157575.8000000007,-55.63417038737103
600.0,0.3,1357,4006561.2000000007,2641925.8200000003,4544576.83,928858.9407717825,-1364635.3800000004,-34.060015855982925
600.0,0.4,1809,4005136.91,3558463.31,4523985.429999999,1238250.4228858913,-446673.6000000001,-11.152517630162325
600.0,0.5,2261,3925812.36,3927078.0,4394277.41,1547641.905,1265.6400000001304,0.032238932581072424
1200.0,0.05,227,2670751.860000001,1091569.16,3070169.2199999997,19180.235486510395,-1579182.700000001,-59.12876908000765
1200.0,0.1,453,3101153.0000000005,1614237.39,3544355.7899999996,38275.97654356479,-1486915.6100000006,-47.94718641742349
1200.0,0.15,679,3285270.22,2613083.69,3758683.0999999996,57371.7176006192,-672186.5300000003,-20.46061617420912
1200.0,0.2,905,3335148.6000000006,3261164.62,3835917.0999999996,76467.4586576736,-73983.98000000045,-2.2183113520032736
1200.0,0.3,1357,3192361.2000000007,3074362.83,3730376.83,114658.9407717824,-117998.37000000058,-3.6962725270550085
1200.0,0.4,1809,2919736.9100000006,2694799.1499999994,3438585.4299999997,152850.4228858912,-224937.76000000117,-7.704042074117017
1200.0,0.5,2261,2569212.36,2339377.8899999997,3037677.4099999997,191041.905,-229834.4700000002,-8.945717122422328
2000.0,0.05,227,2489151.860000001,1369116.34,2888569.2199999997,-162419.7645134896,-1120035.5200000007,-44.996672882768614
2000.0,0.1,453,2738753.0000000005,2541129.27,3181955.7899999996,-324124.0234564352,-197623.73000000045,-7.215828882704218
2000.0,0.15,679,2742070.22,2592090.08,3215483.0999999996,-485828.28239938075,-149980.14000000013,-5.469595158651533
2000.0,0.2,905,2611148.6000000006,2294072.49,3111917.0999999996,-647532.5413423263,-317076.11000000034,-12.143166038113606
2000.0,0.3,1357,2106761.2,1614514.08,2644776.83,-970941.0592282175,-492247.1200000001,-23.36511228703882
2000.0,0.4,1809,1472536.9100000006,979551.8699999999,1991385.4299999997,-1294349.5771141087,-492985.04000000074,-33.47862024047097
2000.0,0.5,2261,760412.3600000003,312928.44999999925,1228877.4099999997,-1617758.095,-447483.9100000011,-58.84753240983779
