cost_per_customer,targeting_depth,n_targeted,point_estimate_value,posterior_prob_value,oracle_value,random_value,improvement,improvement_pct
100.0,0.05,227,2918798.1700000004,2516285.5100000002,3319869.2199999997,268880.2354865104,-402512.66000000015,-13.790356049176989
100.0,0.1,453,3593673.8000000003,3276261.2,4042655.79,536575.9765435647,-317412.6000000001,-8.83253788921832
100.0,0.15,679,4028012.4000000004,3688212.51,4505583.1,804271.7176006191,-339799.8900000006,-8.435919661019819
100.0,0.2,905,4326132.14,4039034.3700000006,4831417.1,1071967.4586576736,-287097.7699999991,-6.636361551358733
100.0,0.3,1357,4682593.16,4432891.01,5223076.83,1607358.940771782,-249702.15000000037,-5.332561285335902
100.0,0.4,1809,4906360.0200000005,4760384.62,5428485.43,2142750.422885891,-145975.40000000037,-2.9752280591910294
100.0,0.5,2261,5059049.930000001,4962130.95,5524777.41,2678141.905,-96918.98000000045,-1.9157545654027825
300.0,0.05,227,2873398.1700000004,2583134.0500000003,3274469.2199999997,223480.2354865104,-290264.1200000001,-10.10177158983501
300.0,0.1,453,3503073.8000000003,3236764.9100000006,3952055.79,445975.9765435648,-266308.88999999966,-7.60214900410958
300.0,0.15,679,3892212.4000000004,3699918.1500000004,4369783.1,668471.7176006192,-192294.25,-4.940487060776811
300.0,0.2,905,4145132.14,3957785.2400000007,4650417.1,890967.4586576737,-187346.89999999944,-4.5196846245763895
300.0,0.3,1357,4411193.16,4285454.57,4951676.83,1335958.9407717825,-125738.58999999985,-2.8504439828241694
300.0,0.4,1809,4544560.02,4475355.2,5066685.43,1780950.4228858913,-69204.81999999937,-1.5228057214652904
300.0,0.5,2261,4606849.930000001,4583341.9399999995,5072577.41,2225941.9050000003,-23507.990000001155,-0.5102833901080873
600.0,0.05,227,2805298.1700000004,2664359.92,3206369.2199999997,155380.2354865104,-140938.25000000047,-5.0240024931093235
600.0,0.1,453,3367173.8000000003,3243326.05,3816155.7899999996,310075.9765435648,-123847.75000000047,-3.6780919951314566
600.0,0.15,679,3688512.4000000004,3569799.9899999993,4166083.0999999996,464771.71760061925,-118712.41000000108,-3.2184359743502258
600.0,0.2,905,3873632.14,3819726.86,4378917.1,619467.4586576737,-53905.28000000026,-1.3915952277282155
600.0,0.3,1357,4004093.16,3981416.42,4544576.83,928858.9407717825,-22676.740000000224,-0.5663389709942354
600.0,0.4,1809,4001860.02,3982051.5300000003,4523985.429999999,1238250.4228858913,-19808.489999999758,-0.4949820808573612
600.0,0.5,2261,3928549.93,3920585.0300000007,4394277.41,1547641.905,-7964.899999999441,-0.20274401857983804
1200.0,0.05,227,2669098.1700000004,2659177.62,3070169.2199999997,19180.235486510395,-9920.55000000028,-0.3716817204964987
1200.0,0.1,453,3095373.8000000003,3063461.38,3544355.7899999996,38275.97654356479,-31912.42000000039,-1.0309714451931487
1200.0,0.15,679,3281112.4,3227930.63,3758683.0999999996,57371.7176006192,-53181.77000000002,-1.6208457229317657
1200.0,0.2,905,3330632.14,3321773.16,3835917.0999999996,76467.4586576736,-8858.979999999981,-0.2659849430263806
1200.0,0.3,1357,3189893.16,3200221.0399999996,3730376.83,114658.9407717824,10327.879999999423,0.3237688374489691
1200.0,0.4,1809,2916460.02,2919243.8200000003,3438585.4299999997,152850.4228858912,2783.8000000002794,0.09545133418284696
1200.0,0.5,2261,2571949.9300000006,2579154.34,3037677.4099999997,191041.905,7204.409999999218,0.2801147065874807
2000.0,0.05,227,2487498.1700000004,2495310.97,2888569.2199999997,-162419.7645134896,7812.799999999814,0.3140826431239816
2000.0,0.1,453,2732973.8000000003,2730514.8800000004,3181955.7899999996,-324124.0234564352,-2458.9199999999255,-0.08997232245691583
2000.0,0.15,679,2737912.4,2772737.74,3215483.0999999996,-485828.28239938075,34825.34000000032,1.2719669190288048
2000.0,0.2,905,2606632.14,2601571.21,3111917.0999999996,-647532.5413423263,-5060.930000000168,-0.1941558965047606
2000.0,0.3,1357,2104293.16,2133431.19,2644776.83,-970941.0592282175,29138.029999999795,1.3846944215693764
2000.0,0.4,1809,1469260.0199999998,1471680.3199999998,1991385.4299999997,-1294349.5771141087,2420.3000000000466,0.1647291811559944
2000.0,0.5,2261,763149.9300000004,765127.78,1228877.4099999997,-1617758.095,1977.8499999996275,0.25916925655710077
